n 	 k 	 h[J] 	 h[eV] 
1	1	6.856006210146747e-14	427917.3507437833
2	1	7.96000915703885e-14	496823.65009167825
3	1	8.133041220454968e-14	507623.4393423316
4	1	8.174667435398522e-14	510221.5378670638
5	1	8.184990229406962e-14	510865.8346382405
6	1	8.186954220052412e-14	510988.4170350655
7	1	8.187120030879667e-14	510998.7661111527
8	1	8.187185734099596e-14	511002.8669749714
9	1	8.187292586797084e-14	511009.5361817701
10	1	8.187436304742042e-14	511018.506331501
11	1	8.187614988170617e-14	511029.65885047975
12	1	8.187827575058656e-14	511042.92745251197
13	1	8.188073360103839e-14	511058.26811618166
14	1	8.188351822424126e-14	511075.64833065734
15	1	8.188662553129095e-14	511095.0425750599
16	1	8.189005219418253e-14	511116.43007765996
17	1	8.18937954396994e-14	511139.79352943745
18	1	8.189785291690604e-14	511165.11825703754
19	1	8.190222260481733e-14	511192.39164649
20	1	8.190690274518118e-14	511221.60272367136
21	1	8.191189179185256e-14	511252.7418383238
22	1	8.191718837183096e-14	511285.8004208701
23	1	8.192279125523785e-14	511320.77079502837
24	1	8.192869933154833e-14	511357.64602946193
25	1	8.193491159074228e-14	511396.4198201343
26	1	8.194142710812729e-14	511437.0863955816
27	1	8.194824503196726e-14	511479.64043969626
28	1	8.195536457362638e-14	511524.0770302112
29	1	8.196278499916754e-14	511570.39158626087
30	1	8.197050562256483e-14	511618.57982601726
31	1	8.197852579989341e-14	511668.6377304261
32	1	8.19868449242733e-14	511720.56151164847
33	1	8.199546242172142e-14	511774.34758717136
34	1	8.200437774755238e-14	511829.992557343
35	1	8.201359038339563e-14	511887.49318675575
36	1	8.202309983436151e-14	511946.84638655774
37	1	8.203290562661506e-14	512008.0491993101
38	1	8.204300730533257e-14	512071.0987862323
39	1	8.205340443276155e-14	512135.99241509417
40	1	8.20640965867674e-14	512202.7274511441
41	1	8.20750833593167e-14	512271.3013476432
42	1	8.20863643550521e-14	512341.7116369702
43	1	8.209793919002201e-14	512413.9559226929
44	1	8.210980749069918e-14	512488.03187344235
45	1	8.212196889318563e-14	512563.93721795076
46	1	8.213442304226418e-14	512641.6697391316
